HIP,Fe,Li,Be,C,N,O,Na,Mg,Al,Si,P,S,K,Ca,CaII,Sc,ScII,Ti,TiII,V,VII,Cr,CrII,Mn,Co,Ni,Cu,Zn,Sr,SrII,Y,YII,Zr,ZrII,Mo,Ru,BaII,La,LaII,Ce,CeII,Pr,Nd,Sm,Eu,EuII,Gd,Dy,Hf,Pb
17096,-0.11,-99.99,-99.99,0.1,-99.99,-0.2,-0.01,0.03,-0.02,0.02,-99.99,-99.99,-99.99,0.09,-99.99,0.1,0.06,0.09,0.12,-0.04,-99.99,0,-0.29,-0.22,-0.02,-0.01,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
20723,0.22,-99.99,-99.99,0.13,-99.99,-0.27,0.12,0.03,0.07,0.06,-99.99,-99.99,-99.99,-0.01,-99.99,0.11,0.09,0.09,0.03,0.12,-99.99,0.02,-0.35,-0.01,0.13,0.09,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
26394,0.1,-99.99,-99.99,0.07,-99.99,-0.22,0.04,0.03,-0.03,0.01,-99.99,-99.99,-99.99,0.04,-99.99,0.06,0.04,0.06,0.06,-0.02,-99.99,0,-0.31,-0.14,0,0.03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
30579,-0.16,-99.99,-99.99,0.12,-99.99,-0.14,0.06,0.1,0.11,0.07,-99.99,-99.99,-99.99,0.07,-99.99,0.09,0.06,0.16,0.06,0.12,-99.99,0.04,-0.3,-0.09,0.08,0.03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
31540,0.24,-99.99,-99.99,0.08,-99.99,-0.28,0.14,0.05,0.05,0.04,-99.99,-99.99,-99.99,0,-99.99,0.1,0.11,0.08,0.01,0.1,-99.99,0.03,-0.3,0,0.13,0.09,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
33719,0.22,-99.99,-99.99,0.04,-99.99,-0.29,0.05,-0.01,-0.04,0.01,-99.99,-99.99,-99.99,0.05,-99.99,0.09,0.08,0.06,0.08,-0.02,-99.99,0,-0.27,-0.12,0,0.03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
38558,-0.16,-99.99,-99.99,0.09,-99.99,-0.19,-0.01,0.07,0.01,0.01,-99.99,-99.99,-99.99,0.07,-99.99,0.02,-0.01,0.1,0.06,0.02,-99.99,0.04,-0.31,-0.17,-0.02,-0.02,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
39417,0.26,-99.99,-99.99,0.11,-99.99,-0.3,0.14,-99.99,0.08,0.04,-99.99,-99.99,-99.99,0,-99.99,0.14,0.07,0.06,0.02,0.1,-99.99,0.02,-0.3,0.05,0.14,0.09,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
40693,-0.05,-99.99,-99.99,0.12,-99.99,-0.17,0.03,0.06,0.09,0.05,-99.99,-99.99,-99.99,0.05,-99.99,0.09,0.06,0.13,0.05,0.16,-99.99,0.03,-0.32,-0.07,0.1,0.03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
40952,0.19,-99.99,-99.99,0.05,-99.99,-0.22,0.16,0.01,0.06,0.05,-99.99,-99.99,-99.99,0.01,-99.99,0.07,0.1,0.07,-0.01,0.07,-99.99,0.01,-0.32,0,0.11,0.07,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
42214,0.24,-99.99,-99.99,0.06,-99.99,-0.27,0.08,0.01,0.05,0.05,-99.99,-99.99,-99.99,0.03,-99.99,0.12,0.05,0.1,-0.01,0.16,-99.99,0.05,-0.37,-0.05,0.11,0.06,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
43177,0.31,-99.99,-99.99,-0.06,-99.99,-0.36,-0.08,-0.04,-0.02,-0.01,-99.99,-99.99,-99.99,0.08,-99.99,0.09,0.08,0.07,0.06,-0.01,-99.99,0,-0.35,-0.21,-0.02,0.02,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
47007,0.27,-99.99,-99.99,0.05,-99.99,-0.24,0.08,-0.03,-0.02,0.02,-99.99,-99.99,-99.99,0.03,-99.99,0.08,0.08,0.04,0.05,0.01,-99.99,0.02,-0.34,-0.04,0.04,0.06,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
47202,0.35,-99.99,-99.99,0.09,-99.99,-0.24,0.22,0.07,0.1,0.08,-99.99,-99.99,-99.99,-0.04,-99.99,0.21,0.15,0.14,0.03,0.31,-99.99,0.05,-0.31,0.03,0.29,0.12,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
52409,0.28,-99.99,-99.99,0.07,-99.99,-0.32,0.08,0.01,0.04,0.02,-99.99,-99.99,-99.99,-0.01,-99.99,0.1,0.11,0.07,0.04,0.1,-99.99,0.02,-0.34,-0.03,0.12,0.08,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
52521,0.1,-99.99,-99.99,0.3,-99.99,-0.11,0.06,0.02,0.12,0.04,-99.99,-99.99,-99.99,0.01,-99.99,0.29,0.06,0.18,0.02,0.43,-99.99,0.04,-0.38,-0.08,0.17,0.03,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
